scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
202,Rajdhani Express (12810),Express,600t,120 km/h,EMU Local (11912),Commuter,300t,80 km/h,Vijayawada Line,Medium
203,EMU Local (11635),Commuter,300t,80 km/h,BOXN Coal Rake (11958),Freight,4500t,60 km/h,Vijayawada Line,Low
204,BOXN Coal Rake (11706),Freight,4500t,60 km/h,Rajdhani Express (11829),Express,600t,120 km/h,Itarsi Junction,Low
205,WAG-12 Heavy Freight (11766),Heavy Freight,6000t,75 km/h,Rajdhani Express (11973),Express,600t,120 km/h,Kanpur Central,High
206,BOXN Coal Rake (11935),Freight,4500t,60 km/h,Bhopal Shatabdi (11816),Express,550t,110 km/h,Vijayawada Line,High
207,WAG-12 Heavy Freight (11124),Heavy Freight,6000t,75 km/h,Rajdhani Express (12016),Express,600t,120 km/h,Kanpur Central,Low
208,Rajdhani Express (12758),Express,600t,120 km/h,WAG-12 Heavy Freight (12129),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
209,WAG-12 Heavy Freight (11558),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11068),High_Speed,430t,130 km/h,Kanpur Central,High
210,Bhopal Shatabdi (11727),Express,550t,110 km/h,BOXN Coal Rake (12986),Freight,4500t,60 km/h,Bhusawal Block,Low
211,Bhopal Shatabdi (11540),Express,550t,110 km/h,BOXN Coal Rake (11771),Freight,4500t,60 km/h,Bhusawal Block,Low
212,BOXN Coal Rake (12614),Freight,4500t,60 km/h,EMU Local (11292),Commuter,300t,80 km/h,Bhusawal Block,High
213,EMU Local (12808),Commuter,300t,80 km/h,Vande Bharat Express (12117),High_Speed,430t,130 km/h,Bhusawal Block,High
214,BOXN Coal Rake (11644),Freight,4500t,60 km/h,Vande Bharat Express (11226),High_Speed,430t,130 km/h,Itarsi Junction,Medium
215,Vande Bharat Express (11786),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11896),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
216,BOXN Coal Rake (12813),Freight,4500t,60 km/h,EMU Local (11864),Commuter,300t,80 km/h,Nagpur Crossing,High
217,Vande Bharat Express (12519),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12968),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
218,Rajdhani Express (11838),Express,600t,120 km/h,Vande Bharat Express (12352),High_Speed,430t,130 km/h,Kanpur Central,High
219,EMU Local (12883),Commuter,300t,80 km/h,Rajdhani Express (11960),Express,600t,120 km/h,Vijayawada Line,High
220,WAG-12 Heavy Freight (11277),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12307),High_Speed,430t,130 km/h,Nagpur Crossing,High
221,WAG-12 Heavy Freight (11003),Heavy Freight,6000t,75 km/h,Rajdhani Express (12521),Express,600t,120 km/h,Vijayawada Line,Medium
222,WAG-12 Heavy Freight (12322),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11000),Express,550t,110 km/h,Nagpur Crossing,Medium
223,BOXN Coal Rake (11089),Freight,4500t,60 km/h,EMU Local (11745),Commuter,300t,80 km/h,Vijayawada Line,High
224,Vande Bharat Express (12836),High_Speed,430t,130 km/h,Bhopal Shatabdi (12957),Express,550t,110 km/h,Kanpur Central,Medium
225,EMU Local (12468),Commuter,300t,80 km/h,Rajdhani Express (11832),Express,600t,120 km/h,Vijayawada Line,Low
226,Rajdhani Express (11778),Express,600t,120 km/h,Bhopal Shatabdi (12767),Express,550t,110 km/h,Nagpur Crossing,High
227,BOXN Coal Rake (12419),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12277),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
228,Rajdhani Express (11875),Express,600t,120 km/h,BOXN Coal Rake (11865),Freight,4500t,60 km/h,Bhusawal Block,High
229,EMU Local (12639),Commuter,300t,80 km/h,Rajdhani Express (12608),Express,600t,120 km/h,Bhusawal Block,High
230,BOXN Coal Rake (12851),Freight,4500t,60 km/h,EMU Local (12246),Commuter,300t,80 km/h,Bhusawal Block,High
231,BOXN Coal Rake (12690),Freight,4500t,60 km/h,EMU Local (11976),Commuter,300t,80 km/h,Itarsi Junction,High
232,WAG-12 Heavy Freight (11721),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11456),Freight,4500t,60 km/h,Itarsi Junction,High
233,WAG-12 Heavy Freight (11790),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12987),Express,550t,110 km/h,Nagpur Crossing,High
234,EMU Local (12396),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11301),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
235,BOXN Coal Rake (12538),Freight,4500t,60 km/h,Rajdhani Express (11355),Express,600t,120 km/h,Bhusawal Block,Medium
236,BOXN Coal Rake (12845),Freight,4500t,60 km/h,EMU Local (11107),Commuter,300t,80 km/h,Nagpur Crossing,Medium
237,Vande Bharat Express (11816),High_Speed,430t,130 km/h,EMU Local (12391),Commuter,300t,80 km/h,Nagpur Crossing,High
238,Bhopal Shatabdi (12034),Express,550t,110 km/h,WAG-12 Heavy Freight (11562),Heavy Freight,6000t,75 km/h,Kanpur Central,High
239,BOXN Coal Rake (12397),Freight,4500t,60 km/h,EMU Local (11615),Commuter,300t,80 km/h,Kanpur Central,Medium
240,Bhopal Shatabdi (12363),Express,550t,110 km/h,BOXN Coal Rake (11426),Freight,4500t,60 km/h,Kanpur Central,High
241,WAG-12 Heavy Freight (12986),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11331),Freight,4500t,60 km/h,Kanpur Central,High
242,Rajdhani Express (11109),Express,600t,120 km/h,EMU Local (12490),Commuter,300t,80 km/h,Vijayawada Line,High
243,EMU Local (12778),Commuter,300t,80 km/h,Bhopal Shatabdi (12071),Express,550t,110 km/h,Vijayawada Line,Medium
244,Vande Bharat Express (12392),High_Speed,430t,130 km/h,Rajdhani Express (12614),Express,600t,120 km/h,Nagpur Crossing,Low
245,WAG-12 Heavy Freight (11558),Heavy Freight,6000t,75 km/h,Rajdhani Express (11251),Express,600t,120 km/h,Itarsi Junction,High
246,Vande Bharat Express (12969),High_Speed,430t,130 km/h,EMU Local (11316),Commuter,300t,80 km/h,Kanpur Central,Medium
247,BOXN Coal Rake (11566),Freight,4500t,60 km/h,Bhopal Shatabdi (12535),Express,550t,110 km/h,Bhusawal Block,Low
248,Rajdhani Express (12592),Express,600t,120 km/h,EMU Local (12685),Commuter,300t,80 km/h,Vijayawada Line,High
249,Vande Bharat Express (12539),High_Speed,430t,130 km/h,EMU Local (11840),Commuter,300t,80 km/h,Nagpur Crossing,High
250,Rajdhani Express (11125),Express,600t,120 km/h,Vande Bharat Express (12761),High_Speed,430t,130 km/h,Vijayawada Line,Low
251,Rajdhani Express (12063),Express,600t,120 km/h,EMU Local (11889),Commuter,300t,80 km/h,Itarsi Junction,High
252,BOXN Coal Rake (11664),Freight,4500t,60 km/h,Vande Bharat Express (12614),High_Speed,430t,130 km/h,Itarsi Junction,Low
253,WAG-12 Heavy Freight (12126),Heavy Freight,6000t,75 km/h,EMU Local (11351),Commuter,300t,80 km/h,Kanpur Central,High
254,WAG-12 Heavy Freight (12061),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11801),Express,550t,110 km/h,Itarsi Junction,Medium
255,BOXN Coal Rake (12117),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11361),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
256,Rajdhani Express (12183),Express,600t,120 km/h,EMU Local (12992),Commuter,300t,80 km/h,Vijayawada Line,Low
257,BOXN Coal Rake (11054),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12817),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
258,BOXN Coal Rake (12086),Freight,4500t,60 km/h,EMU Local (12308),Commuter,300t,80 km/h,Itarsi Junction,Medium
259,Bhopal Shatabdi (12733),Express,550t,110 km/h,Vande Bharat Express (12797),High_Speed,430t,130 km/h,Bhusawal Block,Medium
260,Vande Bharat Express (11006),High_Speed,430t,130 km/h,EMU Local (12879),Commuter,300t,80 km/h,Kanpur Central,Low
261,Rajdhani Express (12340),Express,600t,120 km/h,Bhopal Shatabdi (12450),Express,550t,110 km/h,Bhusawal Block,Low
262,WAG-12 Heavy Freight (11223),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12830),High_Speed,430t,130 km/h,Vijayawada Line,Medium
263,Vande Bharat Express (11442),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12884),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
264,Bhopal Shatabdi (12266),Express,550t,110 km/h,Rajdhani Express (11082),Express,600t,120 km/h,Itarsi Junction,High
265,WAG-12 Heavy Freight (11717),Heavy Freight,6000t,75 km/h,EMU Local (11401),Commuter,300t,80 km/h,Bhusawal Block,High
266,Bhopal Shatabdi (12627),Express,550t,110 km/h,Rajdhani Express (11160),Express,600t,120 km/h,Nagpur Crossing,Medium
267,EMU Local (12281),Commuter,300t,80 km/h,Vande Bharat Express (11953),High_Speed,430t,130 km/h,Kanpur Central,Medium
268,Rajdhani Express (11638),Express,600t,120 km/h,WAG-12 Heavy Freight (12229),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
269,EMU Local (12472),Commuter,300t,80 km/h,Vande Bharat Express (12307),High_Speed,430t,130 km/h,Nagpur Crossing,Low
270,Rajdhani Express (12031),Express,600t,120 km/h,EMU Local (11886),Commuter,300t,80 km/h,Vijayawada Line,Medium
271,Bhopal Shatabdi (12477),Express,550t,110 km/h,BOXN Coal Rake (12742),Freight,4500t,60 km/h,Nagpur Crossing,High
272,Rajdhani Express (11933),Express,600t,120 km/h,Bhopal Shatabdi (12440),Express,550t,110 km/h,Vijayawada Line,High
273,EMU Local (11750),Commuter,300t,80 km/h,Rajdhani Express (12061),Express,600t,120 km/h,Itarsi Junction,High
274,BOXN Coal Rake (11791),Freight,4500t,60 km/h,Vande Bharat Express (11923),High_Speed,430t,130 km/h,Vijayawada Line,Low
275,Rajdhani Express (11890),Express,600t,120 km/h,WAG-12 Heavy Freight (11170),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
276,Vande Bharat Express (12185),High_Speed,430t,130 km/h,Rajdhani Express (12184),Express,600t,120 km/h,Kanpur Central,High
277,WAG-12 Heavy Freight (12808),Heavy Freight,6000t,75 km/h,Rajdhani Express (12001),Express,600t,120 km/h,Bhusawal Block,Low
278,EMU Local (11365),Commuter,300t,80 km/h,Bhopal Shatabdi (12386),Express,550t,110 km/h,Kanpur Central,Medium
279,Bhopal Shatabdi (12742),Express,550t,110 km/h,WAG-12 Heavy Freight (12517),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
280,EMU Local (11048),Commuter,300t,80 km/h,BOXN Coal Rake (12990),Freight,4500t,60 km/h,Nagpur Crossing,Low
281,BOXN Coal Rake (11132),Freight,4500t,60 km/h,Vande Bharat Express (12703),High_Speed,430t,130 km/h,Vijayawada Line,Low
282,Rajdhani Express (12567),Express,600t,120 km/h,Vande Bharat Express (11131),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
283,Vande Bharat Express (12386),High_Speed,430t,130 km/h,Bhopal Shatabdi (11110),Express,550t,110 km/h,Itarsi Junction,Low
284,WAG-12 Heavy Freight (12865),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11875),High_Speed,430t,130 km/h,Kanpur Central,Low
285,Bhopal Shatabdi (12164),Express,550t,110 km/h,EMU Local (11403),Commuter,300t,80 km/h,Bhusawal Block,Medium
286,Rajdhani Express (12228),Express,600t,120 km/h,WAG-12 Heavy Freight (12527),Heavy Freight,6000t,75 km/h,Kanpur Central,High
287,BOXN Coal Rake (11201),Freight,4500t,60 km/h,Rajdhani Express (12034),Express,600t,120 km/h,Itarsi Junction,High
288,EMU Local (12079),Commuter,300t,80 km/h,Vande Bharat Express (12666),High_Speed,430t,130 km/h,Vijayawada Line,Low
289,Vande Bharat Express (12008),High_Speed,430t,130 km/h,Rajdhani Express (11724),Express,600t,120 km/h,Bhusawal Block,Low
290,Vande Bharat Express (12930),High_Speed,430t,130 km/h,Rajdhani Express (12728),Express,600t,120 km/h,Vijayawada Line,Low
291,BOXN Coal Rake (11369),Freight,4500t,60 km/h,Bhopal Shatabdi (12960),Express,550t,110 km/h,Kanpur Central,Medium
292,Bhopal Shatabdi (11809),Express,550t,110 km/h,WAG-12 Heavy Freight (12629),Heavy Freight,6000t,75 km/h,Kanpur Central,High
293,BOXN Coal Rake (11393),Freight,4500t,60 km/h,Rajdhani Express (11364),Express,600t,120 km/h,Vijayawada Line,Medium
294,EMU Local (11556),Commuter,300t,80 km/h,Bhopal Shatabdi (11763),Express,550t,110 km/h,Nagpur Crossing,High
295,Bhopal Shatabdi (11983),Express,550t,110 km/h,Rajdhani Express (12931),Express,600t,120 km/h,Nagpur Crossing,Medium
296,Rajdhani Express (12525),Express,600t,120 km/h,BOXN Coal Rake (11218),Freight,4500t,60 km/h,Vijayawada Line,Low
297,Rajdhani Express (11960),Express,600t,120 km/h,BOXN Coal Rake (11248),Freight,4500t,60 km/h,Nagpur Crossing,Low
298,Rajdhani Express (12563),Express,600t,120 km/h,EMU Local (12237),Commuter,300t,80 km/h,Kanpur Central,Low
299,BOXN Coal Rake (12074),Freight,4500t,60 km/h,Vande Bharat Express (12337),High_Speed,430t,130 km/h,Vijayawada Line,Medium
300,EMU Local (12046),Commuter,300t,80 km/h,Vande Bharat Express (11609),High_Speed,430t,130 km/h,Bhusawal Block,Low
301,Bhopal Shatabdi (11100),Express,550t,110 km/h,BOXN Coal Rake (11068),Freight,4500t,60 km/h,Vijayawada Line,High
302,Bhopal Shatabdi (12047),Express,550t,110 km/h,BOXN Coal Rake (12362),Freight,4500t,60 km/h,Vijayawada Line,Medium
303,EMU Local (11738),Commuter,300t,80 km/h,BOXN Coal Rake (11127),Freight,4500t,60 km/h,Bhusawal Block,Medium
304,BOXN Coal Rake (11441),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11746),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
305,Bhopal Shatabdi (12485),Express,550t,110 km/h,Rajdhani Express (11067),Express,600t,120 km/h,Itarsi Junction,Medium
306,WAG-12 Heavy Freight (12165),Heavy Freight,6000t,75 km/h,Rajdhani Express (12667),Express,600t,120 km/h,Bhusawal Block,Medium
307,Bhopal Shatabdi (11460),Express,550t,110 km/h,BOXN Coal Rake (11269),Freight,4500t,60 km/h,Nagpur Crossing,High
308,Bhopal Shatabdi (12459),Express,550t,110 km/h,EMU Local (11272),Commuter,300t,80 km/h,Bhusawal Block,Low
309,BOXN Coal Rake (12499),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11330),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
310,Rajdhani Express (12142),Express,600t,120 km/h,Bhopal Shatabdi (11241),Express,550t,110 km/h,Vijayawada Line,High
311,BOXN Coal Rake (12926),Freight,4500t,60 km/h,Vande Bharat Express (11872),High_Speed,430t,130 km/h,Itarsi Junction,High
312,Vande Bharat Express (12100),High_Speed,430t,130 km/h,EMU Local (11447),Commuter,300t,80 km/h,Itarsi Junction,Low
313,Vande Bharat Express (11272),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12846),Heavy Freight,6000t,75 km/h,Bhusawal Block,High
314,EMU Local (11049),Commuter,300t,80 km/h,Vande Bharat Express (11925),High_Speed,430t,130 km/h,Bhusawal Block,High
315,EMU Local (12405),Commuter,300t,80 km/h,BOXN Coal Rake (12999),Freight,4500t,60 km/h,Kanpur Central,Medium
316,WAG-12 Heavy Freight (11856),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12701),Express,550t,110 km/h,Kanpur Central,Low
317,Bhopal Shatabdi (11989),Express,550t,110 km/h,Vande Bharat Express (12668),High_Speed,430t,130 km/h,Bhusawal Block,Medium
318,Rajdhani Express (11461),Express,600t,120 km/h,Bhopal Shatabdi (11110),Express,550t,110 km/h,Nagpur Crossing,Medium
319,BOXN Coal Rake (12503),Freight,4500t,60 km/h,Rajdhani Express (11962),Express,600t,120 km/h,Kanpur Central,Low
320,WAG-12 Heavy Freight (12152),Heavy Freight,6000t,75 km/h,Rajdhani Express (11050),Express,600t,120 km/h,Kanpur Central,Low
321,BOXN Coal Rake (11127),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12752),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
322,Vande Bharat Express (12429),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12830),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
323,WAG-12 Heavy Freight (12786),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11452),High_Speed,430t,130 km/h,Itarsi Junction,High
324,Rajdhani Express (11928),Express,600t,120 km/h,BOXN Coal Rake (11434),Freight,4500t,60 km/h,Vijayawada Line,Medium
325,BOXN Coal Rake (12739),Freight,4500t,60 km/h,Bhopal Shatabdi (11188),Express,550t,110 km/h,Kanpur Central,Medium
326,WAG-12 Heavy Freight (11999),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11712),Express,550t,110 km/h,Kanpur Central,High
327,WAG-12 Heavy Freight (11476),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12191),Freight,4500t,60 km/h,Kanpur Central,Medium
328,BOXN Coal Rake (11950),Freight,4500t,60 km/h,Bhopal Shatabdi (11242),Express,550t,110 km/h,Kanpur Central,Medium
329,Rajdhani Express (11206),Express,600t,120 km/h,Vande Bharat Express (11286),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
330,Vande Bharat Express (11629),High_Speed,430t,130 km/h,Rajdhani Express (12911),Express,600t,120 km/h,Itarsi Junction,Medium
331,Bhopal Shatabdi (11579),Express,550t,110 km/h,WAG-12 Heavy Freight (12626),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
332,Rajdhani Express (11375),Express,600t,120 km/h,EMU Local (11493),Commuter,300t,80 km/h,Kanpur Central,Low
333,Rajdhani Express (12984),Express,600t,120 km/h,Vande Bharat Express (12048),High_Speed,430t,130 km/h,Kanpur Central,Low
334,Vande Bharat Express (11028),High_Speed,430t,130 km/h,EMU Local (12835),Commuter,300t,80 km/h,Itarsi Junction,High
335,Vande Bharat Express (12481),High_Speed,430t,130 km/h,Rajdhani Express (12308),Express,600t,120 km/h,Kanpur Central,Low
336,Vande Bharat Express (12126),High_Speed,430t,130 km/h,BOXN Coal Rake (11407),Freight,4500t,60 km/h,Kanpur Central,Low
337,EMU Local (11453),Commuter,300t,80 km/h,Bhopal Shatabdi (11378),Express,550t,110 km/h,Nagpur Crossing,Medium
338,BOXN Coal Rake (11054),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12224),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
339,BOXN Coal Rake (12718),Freight,4500t,60 km/h,EMU Local (11719),Commuter,300t,80 km/h,Kanpur Central,Low
340,EMU Local (12296),Commuter,300t,80 km/h,BOXN Coal Rake (11234),Freight,4500t,60 km/h,Vijayawada Line,High
341,Bhopal Shatabdi (12602),Express,550t,110 km/h,BOXN Coal Rake (12606),Freight,4500t,60 km/h,Kanpur Central,Low
342,Vande Bharat Express (12482),High_Speed,430t,130 km/h,Bhopal Shatabdi (11722),Express,550t,110 km/h,Nagpur Crossing,High
343,EMU Local (12395),Commuter,300t,80 km/h,Bhopal Shatabdi (11139),Express,550t,110 km/h,Vijayawada Line,Low
344,Bhopal Shatabdi (11558),Express,550t,110 km/h,Vande Bharat Express (12677),High_Speed,430t,130 km/h,Kanpur Central,High
345,Rajdhani Express (11075),Express,600t,120 km/h,Bhopal Shatabdi (11257),Express,550t,110 km/h,Bhusawal Block,High
346,Rajdhani Express (12703),Express,600t,120 km/h,EMU Local (11699),Commuter,300t,80 km/h,Vijayawada Line,High
347,EMU Local (11095),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11309),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
348,EMU Local (12004),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11909),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
349,BOXN Coal Rake (11100),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11467),Heavy Freight,6000t,75 km/h,Kanpur Central,High
350,Vande Bharat Express (11384),High_Speed,430t,130 km/h,BOXN Coal Rake (12940),Freight,4500t,60 km/h,Bhusawal Block,High
351,Vande Bharat Express (12180),High_Speed,430t,130 km/h,BOXN Coal Rake (11767),Freight,4500t,60 km/h,Nagpur Crossing,Medium
352,Vande Bharat Express (12594),High_Speed,430t,130 km/h,EMU Local (12485),Commuter,300t,80 km/h,Nagpur Crossing,Low
353,BOXN Coal Rake (12447),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12936),Heavy Freight,6000t,75 km/h,Kanpur Central,High
354,Rajdhani Express (12894),Express,600t,120 km/h,WAG-12 Heavy Freight (11777),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
355,WAG-12 Heavy Freight (12373),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11321),High_Speed,430t,130 km/h,Nagpur Crossing,High
356,Bhopal Shatabdi (12238),Express,550t,110 km/h,Vande Bharat Express (11248),High_Speed,430t,130 km/h,Bhusawal Block,Medium
357,Vande Bharat Express (11687),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11820),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
358,EMU Local (12783),Commuter,300t,80 km/h,Rajdhani Express (12276),Express,600t,120 km/h,Vijayawada Line,Medium
359,Vande Bharat Express (12766),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11321),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
360,Bhopal Shatabdi (11474),Express,550t,110 km/h,Rajdhani Express (12546),Express,600t,120 km/h,Vijayawada Line,Medium
361,BOXN Coal Rake (11708),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12959),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
362,Bhopal Shatabdi (12449),Express,550t,110 km/h,Vande Bharat Express (11996),High_Speed,430t,130 km/h,Bhusawal Block,Medium
363,EMU Local (12243),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11660),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
364,Vande Bharat Express (12487),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11236),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
365,BOXN Coal Rake (12848),Freight,4500t,60 km/h,Rajdhani Express (11662),Express,600t,120 km/h,Itarsi Junction,Low
366,WAG-12 Heavy Freight (11671),Heavy Freight,6000t,75 km/h,EMU Local (11025),Commuter,300t,80 km/h,Nagpur Crossing,Medium
367,EMU Local (12951),Commuter,300t,80 km/h,Rajdhani Express (12266),Express,600t,120 km/h,Nagpur Crossing,Medium
368,WAG-12 Heavy Freight (12124),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12023),Express,550t,110 km/h,Itarsi Junction,High
369,Bhopal Shatabdi (12927),Express,550t,110 km/h,BOXN Coal Rake (11188),Freight,4500t,60 km/h,Nagpur Crossing,Low
370,Rajdhani Express (11818),Express,600t,120 km/h,WAG-12 Heavy Freight (11695),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
371,Vande Bharat Express (12740),High_Speed,430t,130 km/h,EMU Local (11572),Commuter,300t,80 km/h,Vijayawada Line,Medium
372,EMU Local (11567),Commuter,300t,80 km/h,Rajdhani Express (11471),Express,600t,120 km/h,Bhusawal Block,Medium
373,EMU Local (11058),Commuter,300t,80 km/h,Bhopal Shatabdi (12098),Express,550t,110 km/h,Itarsi Junction,Medium
374,Rajdhani Express (12999),Express,600t,120 km/h,Vande Bharat Express (12944),High_Speed,430t,130 km/h,Itarsi Junction,Medium
375,Vande Bharat Express (11921),High_Speed,430t,130 km/h,Rajdhani Express (11558),Express,600t,120 km/h,Itarsi Junction,High
376,BOXN Coal Rake (12008),Freight,4500t,60 km/h,Rajdhani Express (11113),Express,600t,120 km/h,Itarsi Junction,Low
377,Rajdhani Express (11145),Express,600t,120 km/h,Bhopal Shatabdi (11695),Express,550t,110 km/h,Nagpur Crossing,High
378,Bhopal Shatabdi (11765),Express,550t,110 km/h,WAG-12 Heavy Freight (12742),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
379,BOXN Coal Rake (12052),Freight,4500t,60 km/h,Bhopal Shatabdi (12457),Express,550t,110 km/h,Bhusawal Block,Low
380,Bhopal Shatabdi (11395),Express,550t,110 km/h,WAG-12 Heavy Freight (11978),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
381,Vande Bharat Express (11368),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11968),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
382,Vande Bharat Express (12642),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11591),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
383,Rajdhani Express (11076),Express,600t,120 km/h,Bhopal Shatabdi (12654),Express,550t,110 km/h,Nagpur Crossing,Medium
384,WAG-12 Heavy Freight (11337),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12609),Express,550t,110 km/h,Vijayawada Line,Low
385,Rajdhani Express (11191),Express,600t,120 km/h,WAG-12 Heavy Freight (11009),Heavy Freight,6000t,75 km/h,Kanpur Central,High
386,Rajdhani Express (11910),Express,600t,120 km/h,Bhopal Shatabdi (11301),Express,550t,110 km/h,Itarsi Junction,High
387,Rajdhani Express (12368),Express,600t,120 km/h,EMU Local (12706),Commuter,300t,80 km/h,Bhusawal Block,Medium
388,Rajdhani Express (12077),Express,600t,120 km/h,EMU Local (12007),Commuter,300t,80 km/h,Itarsi Junction,Low
389,BOXN Coal Rake (12955),Freight,4500t,60 km/h,EMU Local (11819),Commuter,300t,80 km/h,Itarsi Junction,Low
390,Rajdhani Express (12995),Express,600t,120 km/h,BOXN Coal Rake (12877),Freight,4500t,60 km/h,Nagpur Crossing,High
391,Bhopal Shatabdi (12714),Express,550t,110 km/h,WAG-12 Heavy Freight (12017),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
392,WAG-12 Heavy Freight (12525),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12276),High_Speed,430t,130 km/h,Vijayawada Line,Medium
393,Vande Bharat Express (12577),High_Speed,430t,130 km/h,EMU Local (12048),Commuter,300t,80 km/h,Bhusawal Block,High
394,EMU Local (12975),Commuter,300t,80 km/h,Rajdhani Express (12269),Express,600t,120 km/h,Itarsi Junction,Medium
395,BOXN Coal Rake (12462),Freight,4500t,60 km/h,Vande Bharat Express (12473),High_Speed,430t,130 km/h,Nagpur Crossing,Low
396,WAG-12 Heavy Freight (12585),Heavy Freight,6000t,75 km/h,Rajdhani Express (11500),Express,600t,120 km/h,Kanpur Central,Low
397,Vande Bharat Express (11599),High_Speed,430t,130 km/h,EMU Local (12760),Commuter,300t,80 km/h,Nagpur Crossing,Low
398,Bhopal Shatabdi (12460),Express,550t,110 km/h,EMU Local (12333),Commuter,300t,80 km/h,Bhusawal Block,Low
399,Rajdhani Express (11211),Express,600t,120 km/h,Bhopal Shatabdi (11696),Express,550t,110 km/h,Vijayawada Line,High
400,BOXN Coal Rake (11562),Freight,4500t,60 km/h,Vande Bharat Express (12965),High_Speed,430t,130 km/h,Vijayawada Line,High
401,WAG-12 Heavy Freight (11129),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11637),Express,550t,110 km/h,Bhusawal Block,High
402,Rajdhani Express (11633),Express,600t,120 km/h,WAG-12 Heavy Freight (12603),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
403,EMU Local (12163),Commuter,300t,80 km/h,Rajdhani Express (12396),Express,600t,120 km/h,Nagpur Crossing,Low
